Company,Description,Industries,YC Link
Nox Metals,"The modern factory for fast, low-cost metals.","SUMMER 2025, INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/nox-metals
Blue,The only voice assistant that can control every app on your phone.,"SUMMER 2025, CONSUMER",https://www.ycombinator.com/companies/blue
Paloma,"AI-native CRM for billing, renewals, and expansions","SUMMER 2025, B2B",https://www.ycombinator.com/companies/paloma
Uplift AI,Foundational Voice AI for underserved languages,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/uplift-ai
RealRoots,RealRoots is a mobile app that guarantees women lifelong friendships.,"SUMMER 2025, CONSUMER, SOCIAL",https://www.ycombinator.com/companies/realroots
Luminal,Simple ML framework and cloud for generating fast GPU code.,"SUMMER 2025, B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/luminal
Freya,Voice AI Agents For Financial Services And Other Regulated Industries,"SUMMER 2025, FINTECH",https://www.ycombinator.com/companies/freya
burnt,Agentic Operating System for Food Supply Chain,"SUMMER 2025, B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/burnt
Avent,AI agents for industrial commerce,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/avent
Cacao,Brazilians can now receive USD & crypto instantly,"SUMMER 2025, FINTECH",https://www.ycombinator.com/companies/cacao
Veritus Agent,AI agents for loan servicing and collections,"SUMMER 2025, FINTECH, CREDIT AND LENDING",https://www.ycombinator.com/companies/veritus-agent
Outrove,Ultra-realistic AI Recruiter,"SUMMER 2025, B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/outrove
NOSO LABS,Build AI agents for field technicians to diagnose and sell 10x better,"SUMMER 2025, INDUSTRIALS",https://www.ycombinator.com/companies/noso-labs
Vulcan Technologies,AI regulatory drafting and compliance,"SUMMER 2025, B2B, LEGAL",https://www.ycombinator.com/companies/vulcan-technologies
Spotlight Realty,AI powered brokerage reducing residential rental commissions in NYCâ€¦,"SUMMER 2025, REAL ESTATE AND CONSTRUCTION",https://www.ycombinator.com/companies/spotlight-realty
Interfere,The self-healing layer of the internet,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/interfere
Munify,The Cross-Border Neobank for the Middle East and its Diaspora,"SUMMER 2025, FINTECH",https://www.ycombinator.com/companies/munify
RowFlow,We turn rigid forms into AI convos that collect better data faster.,"SUMMER 2025, B2B, OPERATIONS",https://www.ycombinator.com/companies/rowflow
TectoAI,Governance for AI Employees,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/tectoai
Anytrace,The AI support engineering agent,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/anytrace
Perspectives Health,AI Agent for Clinic EMRs,"SUMMER 2025, HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/perspectives-health
Modelence,All-in-one TypeScript platform for startups,"SUMMER 2025, B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/modelence
Magnetic,Computer-use agents for CPA firms to automate taxes,"SUMMER 2025, B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/magnetic
Fleetline,Optimizing fleet planning with data driven algorithms,"SUMMER 2025, B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/fleetline
Clodo,The AI CRM for Real Estate Agents,"SUMMER 2025, REAL ESTATE AND CONSTRUCTION, HOUSING AND REAL ESTATE",https://www.ycombinator.com/companies/clodo
stagewise,Frontend coding agent for real codebases,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/stagewise
Flywheel AI,Waymo for excavators,"SUMMER 2025, INDUSTRIALS, MANUFACTURING AND ROBOTICS",https://www.ycombinator.com/companies/flywheel-ai
Vibe Code Go,Code from your phone,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/vibe-code-go
Juxta,Building a GPS alternative 100x more powerful with no hardware needed.,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/juxta
Okibi,"Build agents using natural language, it's Lovable for agents","SUMMER 2025, B2B",https://www.ycombinator.com/companies/okibi
Daymi,Text your personal AI clone,"SUMMER 2025, CONSUMER",https://www.ycombinator.com/companies/daymi
dScribe AI,Track bulk inventory with autonomous drones and 3D vision,"SUMMER 2025, B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/dscribe-ai
Kernel,Crazy Fast Browsers-as-a-Service,"SUMMER 2025, B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/kernel
Reacher,We automate creator marketing for the world's largest brands,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/reacher
Certus AI,Replacing the restaurant phone line with Voice AI,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/certus-ai
Hera,AI Motion Designer,"SUMMER 2025, B2B, ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/hera-video
Nottelabs,Reliable Web Agents for Enterprise,"SUMMER 2025, B2B",https://www.ycombinator.com/companies/nottelabs
Pally,Pally is an AI Relationship Management Platform,"SUMMER 2025, B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/pally
Locata,AI referral management for Health Centers,"SUMMER 2025, HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/locata
Pleom,Talk to your AI,"SUMMER 2025, CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/pleom
